Date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,125.57,126.120003,124.860001,125.43,43849800,125.43
2015-06-29,125.459999,126.470001,124.480003,124.529999,48911400,124.529999
2015-06-26,127.669998,127.989998,126.510002,126.75,42111000,126.75
2015-06-25,128.860001,129.199997,127.50,127.50,31816700,127.50
2015-06-24,127.209999,129.800003,127.120003,128.110001,54964900,128.110001
2015-06-23,127.480003,127.610001,126.879997,127.029999,30137100,127.029999
2015-06-22,127.489998,128.059998,127.080002,127.610001,33833500,127.610001
2015-06-19,127.709999,127.82,126.400002,126.599998,54181300,126.599998
2015-06-18,127.230003,128.309998,127.220001,127.879997,35241100,127.879997
2015-06-17,127.720001,127.879997,126.739998,127.300003,32768500,127.300003
2015-06-16,127.029999,127.849998,126.370003,127.599998,31404000,127.599998
2015-06-15,126.099998,127.239998,125.709999,126.919998,39842600,126.919998
2015-06-12,128.190002,128.330002,127.110001,127.169998,36754200,127.169998
2015-06-11,129.179993,130.179993,128.479996,128.589996,35260400,128.589996
2015-06-10,127.919998,129.339996,127.849998,128.880005,38915900,128.880005
2015-06-09,126.699997,128.080002,125.620003,127.419998,55771500,127.419998
2015-06-08,128.899994,129.210007,126.830002,127.800003,52538200,127.800003
2015-06-05,129.50,129.690002,128.360001,128.649994,35314200,128.649994
2015-06-04,129.580002,130.580002,128.910004,129.360001,38229300,129.360001
2015-06-03,130.660004,130.940002,129.899994,130.119995,30889400,130.119995
2015-06-02,129.860001,130.660004,129.320007,129.960007,33556900,129.960007
2015-06-01,130.279999,131.389999,130.050003,130.539993,31956000,130.539993

